S.No,University Name,State/UT,Type,Year Established
1,Acharya N.G. Ranga Agricultural University,Andhra Pradesh,State University,1964.0
2,Acharya Nagarjuna University,Andhra Pradesh,State University,1976.0
3,Adikavi Nannaya University,Andhra Pradesh,State University,2006.0
4,Andhra Kesari University,Andhra Pradesh,State University,2022.0
5,Andhra University,Andhra Pradesh,State University,1926.0
6,Bharatiya Engineering Science and Technology Innovation University,Andhra Pradesh,Private University,2019.0
7,Central University of Andhra Pradesh,Andhra Pradesh,Central University,2019.0
8,Central Tribal University of Andhra Pradesh,Andhra Pradesh,Central University,2019.0
9,Centurion University of Technology and Management,Andhra Pradesh,Private University,2017.0
10,Cluster University,Andhra Pradesh,State University,2020.0
11,Damodaram Sanjivayya National Law University,Andhra Pradesh,State University,2008.0
12,Dr. Abdul Haq Urdu University,Andhra Pradesh,State University,2018.0
13,Dr. B.R. Ambedkar University,Andhra Pradesh,State University,2008.0
14,Dravidian University,Andhra Pradesh,State University,1997.0
15,Dr. Y.S.R Architecture and Fine Arts University,Andhra Pradesh,State University,2020.0
16,Dr. Y.S.R. Horticultural University,Andhra Pradesh,State University,2011.0
17,Dr. N.T.R. University of Health Sciences,Andhra Pradesh,State University,1986.0
18,Gandhi Institute of Technology and Management (GITAM),Andhra Pradesh,Deemed University,2007.0
19,Jawaharlal Nehru Technological University Anantpur,Andhra Pradesh,State University,2008.0
20,Jawaharlal Nehru Technological University Kakinada,Andhra Pradesh,State University,2008.0
21,Jawaharlal Nehru Technological University - Gurajada Vizianagram,Andhra Pradesh,State University,2022.0
22,Koneru Lakshmaiah Education Foundation,Andhra Pradesh,Deemed University,2009.0
23,KREA University,Andhra Pradesh,Private University,2018.0
24,Krishna University,Andhra Pradesh,State University,2008.0
25,Rajiv Gandhi University of Knowledge Technologies Andhra Pradesh,Andhra Pradesh,State University,2016.0
26,Rayalaseema University,Andhra Pradesh,State University,2008.0
27,Saveetha Amaravati University,Andhra Pradesh,Private University,2018.0
28,Sri Krishnadevaraya University,Andhra Pradesh,State University,1981.0
29,Sri Padmavati Mahila Vishwavidyalayam,Andhra Pradesh,State University,1983.0
30,Sri Sathya Sai Institute of Higher Learning,Andhra Pradesh,Deemed University,1981.0
31,Sri Venkateswara University,Andhra Pradesh,State University,1954.0
32,Sri Venkateswara Vedic University,Andhra Pradesh,State University,2006.0
33,Sri Venkateswara Veterinary University,Andhra Pradesh,State University,2005.0
34,Sri Venkateswara Institute of Medical Sciences,Andhra Pradesh,State University,1993.0
35,SRM University,Andhra Pradesh,Private University,2017.0
36,The National Sanskrit University,Andhra Pradesh,Central University,1987.0
37,Vignan's Foundation for Science Technology and Research,Andhra Pradesh,Deemed University,2008.0
38,Vikrama Simhapuri University,Andhra Pradesh,State University,2008.0
39,VIT-AP University,Andhra Pradesh,Private University,2017.0
40,Yogi Vemana University,Andhra Pradesh,State University,2006.0
